ID,Category,Co-Occurrence-Weight
事件很严重,风险感知类,4555.661287904742
担心自身安全,风险感知类,1183.854066116848
加强公众教育和培训,行动/政策类,720.3789469834835
管理不到位,归因信念类,2976.3625583578096
企业/机构责任缺位,归因信念类,995.5403020922171
政府监管不力,归因信念类,1271.2293071500847
人为操作失误,归因信念类,868.2284364196282
长期积累的问题爆发,归因信念类,1093.471707419511
担心公共安全,风险感知类,4076.406991747232
社会风险正在增加,风险感知类,1379.470661813227
需要追责问责,行动/政策类,1433.593189987362
改善相关行业或系统,行动/政策类,1928.1200712031539
政府应加强监管,行动/政策类,1647.8312262720433
加强信息发布和科普,行动/政策类,583.8365418438351
提升应急能力,行动/政策类,1451.4937152093737
经济风险正在增加,风险感知类,132.41179535831944
呼吁社会关注,行动/政策类,1513.5814267179817
对未来感到不安,风险感知类,1054.804500968945
需要公开透明,行动/政策类,1521.4804192682716
信息披露不及时,归因信念类,1130.8008084329354
支持政策改进,行动/政策类,1821.6544278745407
制度问题,归因信念类,1289.072902893904
环境风险正在增加,风险感知类,128.86229110726046
技术手段不足,归因信念类,603.4362053977725
对信息不透明感到焦虑,风险感知类,650.6131084866423
推动法律法规完善,行动/政策类,526.2556855105694
法律法规不完善,归因信念类,476.2493584767731
外部因素影响,归因信念类,163.7948939874704
归因信念类,归因信念类,4.795790545596741
