username,publisher,publish_time,engagement,content
游识猷,个人用户,2025-11-26 22:23,89261,香港这场大火太可怕了…… 在火灾里，人类行为其实可能跟你想象的不太一样—— ▪️ 理论上来说，存活率最高的策略，就是“听到火灾警报就立刻开始逃生”。 但是现实里，人们会做的第一件事，是交换信息，等着别人先行动——打开门面面相觑，互相询问，“发生什么事了？”“是邻居着火了吗？”“你觉得我们该走吗？” 也就是说，在逃生的黄金时间里，火灾发生的头几分钟里，很多人都抱着从众心理，“先看看别人怎么做，别人跑了，我再跑”。 ▪️ 人什么时候一定会行动？不是闻到焦糊味（炒菜烧焦太常见了），也不是听到疏散广播或者火灾警报，而是“看到烟雾”。 但问题是，烟雾不但会降低能见度，让逃离变得困难，而且经常有毒，有些毒气甚至会让人在几分钟内丧失行动能力。短时间内，环境就可能变得无法生存。 不要等待“视觉确认”。如果非要看到火苗或者烟雾才相信着火了，可能就已经跑不掉了。 ▪️ 虽然很多人认为火灾中的第一反应是“恐慌”，但这更多是一种想象。 火灾里，真正的“非理性恐慌”极为罕见。 人们在火灾中通常表现得非常理性（甚至太理性了），直到生命受到直接威胁的最后一刻。 不要担心人群会立刻失控。相反，要担心的是人们太过“淡定”，导致错过了逃生机会。 ✅ 听到火灾警报，带上家人立刻撤离。不要等别人带头了，你带头，大家就会跟着你行动。 ✅ 时不时走一下高层的逃生楼梯，看看门能不能打开，灯亮不亮，有没有堆杂物。建立认知地图的同时，还可以锻炼身体。 在火场里生存，是一场时间赛跑。你察觉、反应、移动并逃出去所需的时间，一定要小于环境发展到可以致死的时间。只有这样，才能活下来。 希望香港大火快些被扑灭。 #直击香港大埔火灾#
上海复星公益基金会,个人用户,2025-11-29 21:04,50655,在各方全力投入香港大埔火灾后续工作的同时，演员@展轩 通过复星基金会捐赠30万元人民币，为支持灾后重建及社区恢复等工作尽一份力。愿受灾同胞早日渡过难关，重返家园。 ​​​
中华慈善总会,个人用户,2025-11-29 18:48,49496,11月29日，赵露思@四川省慈善联合总会官方微博 @小小的守护基金 通过@中华慈善总会 捐款100万元人民币，用于支援香港大埔火灾受灾同胞的安置工作等。 危难时刻，我们与香港同胞守望相助，同心同行。愿受灾居民早日渡过难关，重建家园。 ​​​
新京报我们视频,个人用户,2025-11-27 10:56,43221,【#香港大火最初起火画面曝光# 居民曾多次发现工人在竹棚架内吸烟】#宏福苑居民称工人多次在竹架内吸烟# 11月26日，香港大埔宏福苑发生五级火警，居民拍下宏昌阁外墙棚架最初起火画面。火势沿外墙保护网及棚架燃烧，蔓延至整幢大厦，整个过程不到10分钟。大量起火竹枝从高处坠落，现场有人不停大叫“走呀走呀”。另据宏福苑一业主介绍，他们曾多次发现施工工人在竹棚架内吸烟并反馈至维修方。新京报记者从大埔消防局获悉，目前火灾原因仍在调查。此前香港警方以涉嫌误杀拘捕3人，此案已交由香港警方进一步调查。（编辑：李佩雯 刘锦涵 制作：王子轩） http://t.cn/AXLYIQJZ
红星新闻,个人用户,2025-11-26 21:44,36413,【#香港火灾疑似起火点曝光#，路人喊为什么没火警铃？】香港警方和消防部门27日凌晨召开记者会宣布，大埔屋邨宏福苑火灾目前已造成44人遇难，45人受伤。警方已拘捕3名涉嫌误杀的男子。香港警方展开调查，发现建筑物外墙有保护网、防水帆布、塑料布，疑未符合防火标准，另有一座未波及的大厦每层电梯大堂窗外都有发泡胶包封，易燃且可能加速火势蔓延，不排除发泡胶是迅速蔓延的原因。警方发现一工程公司负责安装上述相关材料，相信该工程公司负责人严重疏忽，导致火势迅速蔓延，造成重大伤亡。警方拘捕的3人为工程公司负责人，包括2名董事、1名工程顾问，年龄介于52岁至68岁。 11月26日，消防处相关负责人告诉媒体，已经动用128辆消防车和57辆救护车，767名消防人员对现场进行施救。21时许，有香港热心市民前往宏福苑给救援人员送食物等物资，物资是周边餐饮店和商店捐出来的。这位市民介绍，除了救火现场，他们还有其他同伴给医院、社区中心派送物资。 据了解，最初是由宏福苑宏昌阁外墙棚架最先起火，然后火势一发不可收拾，蔓延到宏泰阁及宏新阁等楼宇，甚至烧入单位内部。有路人在社交平台发布视频称，最初起火点在宏昌阁低层棚架，视频中路人大喊“为什么没有火警铃，工程人员在干嘛？”（综合新华社、新闻晨报、看看新闻、央视新闻） #香港火灾# http://t.cn/AXLllKa6 http://t.cn/AXLYUxCs
大公文匯網,个人用户,2025-11-27 06:56,28602,【这一夜，香港未眠 】#香港大埔火灾# 太难过了，下午3点，消防处更新数据，#香港火灾已致55人遇难#。 宏福苑8座大厦中，有1座未受火警波及。 有4座大厦的火势已经受到控制，剩3座大厦的火警仍在处理中。 早上7时，消防搜救队伍现已进入楼层搜索，仍在寻获生还者。 仍有二百多人失联。 3名负责人涉误杀被捕。今早再多一人被捕。 12:20分：除了左侧大厦中部、中间大厦顶楼的突现火苗外，大厦其余部分火情已得到有效控制，未有见到明显火焰迹象。 12:25分：又有老人被救出。 大公文汇持续更新，天佑香港[祈祷] ​​​​
十八子金名,个人用户,2025-11-30 21:07,27756,火灾中获救的女士分享了自己和老公，在这场灾难中的自救方法。 这次火灾中，她家楼上和楼下都被大火吞噬了，她家始终没有大火进入房内。 她和她老公冷静面对熊熊大火的同时，还救了一位对面房独居的婆婆。 这些成功逃生人的经验真的很重要，之前大家在网上讨论过如果逃不出去的话，去哪个位置比较好卫生间可不可行，都是纸上谈兵。 有真正经历的人，这种经验非常有学习意义。 虽然希望大家都用不上，但是还是要掌握好这些经验。#香港市民排队千米悼念#
TOBEAJERKONE,个人用户,2025-11-27 11:56,23677,时常感叹于自媒体从业者的冷漠嗅觉。烧了一夜的通天大火于他们而言，只是没什么灵感刚好送上门的素材，所以“先拍下来再说”，语气好像在讲隔壁今天死了一只鸡。 ​​​
林-rk笑料集中营-克,个人用户,2025-11-27 18:54,23293,#栩你渝生后援会捐款# 11月26日，香港新界大埔宏福苑火灾突如其来，浓烟与火光牵动着无数人的心。截至目前，灾情已造成重大人员伤亡，受灾民众被迫疏散，亟需物资支援与心灵慰藉 。一方有难，八方支援，栩你渝生后援会始终坚信“追星当追正能量，爱意应赴需要时”，现已通过正规慈善渠道捐赠善款，定向用于受灾民众紧急安置、生活物资补给及灾后重建工作。 每一笔捐款都承载着粉丝们对同胞的牵挂，每一份善意都在为香港驱散阴霾。我们深知，公益不是一时热血，而是守望相助的责任担当——正如我们因喜爱而汇聚，更愿因善良而同行，让对偶像的热忱转化为温暖社会的实际力量 。此刻，消防救援人员仍在一线攻坚，社会各界正全力驰援，那些自发运送物资的义工、开放庇护中心的社区，都在诠释着“同舟共济”的深刻内涵 。 愿风止烟散，愿平安归来。栩你渝生的粉丝将持续关注灾情进展，也呼吁更多朋友伸出援手，用点滴善举汇聚成抗灾暖流。相信在全社会的同心助力下，香港一定能早日渡过难关，重建家园！❤️@微博智搜 #香港加油 #同心抗灾 #正能量追星 #栩你渝生后援会公益行动
泡儿小狗,个人用户,2025-12-10 23:11,23252,人真的很渺小，昨天看了香港火灾幸存者的访谈，他家很幸运，在二楼，窗外没有封泡沫胶，所以一时大火没有让窗户受热爆裂，家里依然暂时安全。窗外漫天大火，燃烧的碎片落下来，能看见消防员就在外面，但是仿佛两个世界，对方看不到他。在这个时候妈妈给他打电话，他说，没事的妈妈，消防员来救我了，不说了。然后挂了电话开始想掉眼泪，觉得很舍不得。 给好友发信息，托付自己的妻儿，附带了一张屋内布满黑烟的照片，好友以为在用网图开玩笑。 走廊和大厅都是烈火完全出不去，本来想从负一楼的逃生通道逃离大楼，幸好在隔壁邻居的提醒下知道了，那个逃生通道是常年上锁的。 后来消防员入场搜救，楼梯间到逃生出口的一路上，全都是没成功出去的人。 最后他成功获救，上云梯的一瞬间，在爆裂的大火里，消防员冲他身上喷水，一下子整个人凉透了。他说，当时我恍惚以为，全世界都在下雨，好大的雨，但是怎么还是有火呢。
天下苦二手烟久矣,个人用户,2025-11-27 09:42,23173,🚬人真的害死人了 看到hk大火是因为有人抽烟 那么小小的烟头直接烧了好几栋楼那么多鲜活的生命没了就好难受 前一阵我们学校有人抽烟把烟头扔楼下直接给人把宿舍都着了 3141 ​​​
范赣中举,个人用户,2025-11-26 20:49,23162,#香港mama# 香港大火这么严重了mama还能办吗[泪奔] ​​​
芒果妈妈,个人用户,2025-11-27 10:31,21264,#香港火灾已致44人遇难#香港大火牺牲的消防员，和女友相恋十年了，本来下个月准备结婚的，不敢想象他的未婚妻现在有多崩溃💔 ​​​
央视新闻,个人用户,2025-11-27 18:44,19597,【#香港消防员救出55人#】#香港向每户灾民发1万港元补助# 昨天，香港新界大埔屋邨宏福苑多栋住宅楼发生火灾。今天，香港特区行政长官李家超介绍，大埔宏福苑全部7座大厦火势基本受控，大火已造成55人死亡，消防员已成功拯救了55人。此外，李家超宣布，今晚即时向灾民派发每户1万港元应急补助金，投入3亿港元成立大埔宏福苑援助基金。（总台记者金冬 周伟琪 冯良辰）http://t.cn/AXL8yi46 http://t.cn/AXLRTHmM
CCTV国际时讯,个人用户,2025-11-26 20:52,17401,#香港大火致14人死亡16人受伤#更新：香港大埔宏福苑今天（11月26日）发生火灾。据香港特区政府消防处向总台记者独家提供的消息，目前火灾已造成14人死亡，另有16人受伤。稍早前，有消息称火灾造成13人死亡，28人受伤。（总台记者 朱丹 金东 苏子杰 骆峰）http://t.cn/AXLlSylI ​​​​
李家超,个人用户,2025-11-26 19:26,17087,【主持跨部门紧急会议　全力协助大埔火警受影响居民】 我对今日下午在大埔宏福苑发生的大火极度关注。大火导致多人伤亡，包括有消防人员执行职务时殉职，我表示极度哀伤，并对死者家属和伤者致以深切慰问。 我已即时启动紧急事故监察及支援中心，听取保安局和消防处的汇报，并指示部门全力做好灭火救援救治工作。各政府部门全力协助受火警影响的居民，将市民安全及福祉放在首位。民政事务总署、民政事务处及社会福利署已在现场设立援助站，并安排受影响人士入住临时庇护中心，以及为死伤者家属提供援助及情绪支援。医管局亦已启动应急机制，全力救治伤者。 #香港大埔火灾##香港火灾#
陈奕恒-恒星磁场,个人用户,2025-11-27 22:47,17034,昨日，香港大埔宏福苑大火肆虐，无数家园受损，伤亡消息传来，每颗心都备受煎熬。陈奕恒数据组及全体粉丝始终心系受灾同胞，自发捐款1590元支援救灾。 这笔款项虽微薄，却满含对香港同胞的牵挂与支持，愿为救灾尽一份力。我们向逝去的生命致哀，为受伤的同胞祈福，更向逆行一线的消防员、医护人员及所有坚守者致以崇高敬意。 盼救援顺遂，愿受灾同胞早日重建家园、重归安宁。
闲猫子,个人用户,2025-11-28 08:47,16661,"这次大火，香港网民做了一件事，非常非常非常非常棒，就是这款连夜上线的app。 流程： 1. Request 由 Google form 提交 2. 志愿者核对信息的真实性和准确性 3. 核实后的信息进入app, 红色代表失联，绿色代表无恙，黑色是遇难[祈祷] 4. 信息同步到前线救火员，进行定点救援 所以在脆上还是不停看到得救的消息，有老人躲入浴室得救，有家人被证实在医院，甚至有小猫咪小乌龟证实得救。 这就是技术最美好的样子了。 很多民间自助都在忙碌，谢谢🙏 以及感谢英勇的救火员。[心][心]"
乔凯文,个人用户,2025-11-29 11:17,15642,不知道自己已离开的消防员，还在做搜救... #香港消防员救熄大火后衣服焦黑##香港大埔火灾已致128人遇难# ​​​
