time,avg_polarity,count,reasons
2025-11-26 18:00,2.19,291,['发帖量异常(偏离3.2个标准差)']
2025-11-26 19:00,2.19,443,['发帖量异常(偏离5.1个标准差)']
2025-11-26 20:00,2.11,438,['发帖量异常(偏离5.0个标准差)']
2025-11-26 21:00,2.32,439,['发帖量异常(偏离5.0个标准差)']
2025-11-26 22:00,2.34,421,['发帖量异常(偏离4.8个标准差)']
2025-11-26 23:00,2.36,446,['发帖量异常(偏离5.1个标准差)']
2025-11-27 00:00,2.29,388,['发帖量异常(偏离4.4个标准差)']
2025-11-27 01:00,2.39,253,['发帖量异常(偏离2.7个标准差)']
2025-11-27 07:00,2.19,351,['发帖量异常(偏离3.9个标准差)']
2025-11-27 08:00,2.22,422,['发帖量异常(偏离4.8个标准差)']
2025-11-27 09:00,2.22,410,['发帖量异常(偏离4.7个标准差)']
2025-11-27 10:00,2.32,413,['发帖量异常(偏离4.7个标准差)']
2025-11-27 11:00,2.4,364,['发帖量异常(偏离4.1个标准差)']
2025-11-27 12:00,2.27,384,['发帖量异常(偏离4.4个标准差)']
2025-11-27 13:00,2.48,349,['发帖量异常(偏离3.9个标准差)']
2025-11-27 14:00,2.64,325,['发帖量异常(偏离3.6个标准差)']
2025-11-27 15:00,2.67,375,['发帖量异常(偏离4.2个标准差)']
2025-11-27 16:00,2.68,391,['发帖量异常(偏离4.4个标准差)']
2025-11-27 17:00,2.55,362,['发帖量异常(偏离4.1个标准差)']
2025-11-27 18:00,2.8,433,['发帖量异常(偏离5.0个标准差)']
2025-11-27 19:00,3.0,417,['发帖量异常(偏离4.8个标准差)']
2025-11-27 20:00,2.76,380,['发帖量异常(偏离4.3个标准差)']
2025-11-27 21:00,2.8,363,['发帖量异常(偏离4.1个标准差)']
2025-11-27 22:00,2.79,364,['发帖量异常(偏离4.1个标准差)']
2025-11-27 23:00,2.47,348,['发帖量异常(偏离3.9个标准差)']
2025-11-28 00:00,2.62,210,['发帖量异常(偏离2.2个标准差)']
2025-11-28 07:00,2.54,428,['发帖量异常(偏离4.9个标准差)']
2025-11-28 08:00,2.31,457,['发帖量异常(偏离5.3个标准差)']
2025-11-28 22:00,2.64,223,['发帖量异常(偏离2.4个标准差)']
2025-11-28 23:00,2.7,208,['发帖量异常(偏离2.2个标准差)']
2025-12-04 02:00,1.0,1,['情感极性异常(偏离2.7个标准差)']
2025-12-08 06:00,5.0,1,['情感极性异常(偏离2.9个标准差)']
2025-12-12 13:00,4.5,2,['情感极性异常(偏离2.2个标准差)']
2025-12-14 09:00,5.0,1,['情感极性异常(偏离2.9个标准差)']
2025-12-17 01:00,1.0,1,['情感极性异常(偏离2.7个标准差)']
2025-12-19 06:00,1.0,1,['情感极性异常(偏离2.7个标准差)']
2025-12-20 07:00,5.0,2,['情感极性异常(偏离2.9个标准差)']
2025-12-22 17:00,4.5,2,['情感极性异常(偏离2.2个标准差)']
2025-12-22 20:00,4.5,2,['情感极性异常(偏离2.2个标准差)']
2025-12-23 01:00,1.0,1,['情感极性异常(偏离2.7个标准差)']
2025-12-24 01:00,5.0,1,['情感极性异常(偏离2.9个标准差)']
2025-12-26 21:00,4.5,2,['情感极性异常(偏离2.2个标准差)']
2025-12-27 09:00,4.67,3,['情感极性异常(偏离2.4个标准差)']
2025-12-29 10:00,1.0,1,['情感极性异常(偏离2.7个标准差)']
2025-12-29 11:00,5.0,1,['情感极性异常(偏离2.9个标准差)']
2025-12-30 07:00,1.0,1,['情感极性异常(偏离2.7个标准差)']
2025-12-30 10:00,1.0,1,['情感极性异常(偏离2.7个标准差)']
2025-12-30 23:00,4.67,3,['情感极性异常(偏离2.4个标准差)']
2025-12-31 03:00,4.5,2,['情感极性异常(偏离2.2个标准差)']
