time,count,zscore
2025-11-26 18:00,291,3.21
2025-11-26 19:00,443,5.08
2025-11-26 20:00,438,5.02
2025-11-26 21:00,439,5.03
2025-11-26 22:00,421,4.81
2025-11-26 23:00,446,5.12
2025-11-27 00:00,388,4.4
2025-11-27 01:00,253,2.74
2025-11-27 07:00,351,3.95
2025-11-27 08:00,422,4.82
2025-11-27 09:00,410,4.67
2025-11-27 10:00,413,4.71
2025-11-27 11:00,364,4.11
2025-11-27 12:00,384,4.35
2025-11-27 13:00,349,3.92
2025-11-27 14:00,325,3.63
2025-11-27 15:00,375,4.24
2025-11-27 16:00,391,4.44
2025-11-27 17:00,362,4.08
2025-11-27 18:00,433,4.96
2025-11-27 19:00,417,4.76
2025-11-27 20:00,380,4.3
2025-11-27 21:00,363,4.09
2025-11-27 22:00,364,4.11
2025-11-27 23:00,348,3.91
2025-11-28 00:00,210,2.21
2025-11-28 07:00,428,4.89
2025-11-28 08:00,457,5.25
2025-11-28 22:00,223,2.37
2025-11-28 23:00,208,2.19
