time,同情,希望,恐惧,感动,愤怒,担忧,支持,无奈,欣慰,沮丧
2025-11-25 17:00,0,0,0,0,0,1,0,0,0,0
2025-11-25 18:00,0,0,0,0,0,5,0,0,3,0
2025-11-25 21:00,0,1,0,1,0,0,1,0,1,1
2025-11-26 12:00,0,0,0,0,1,2,0,1,0,0
2025-11-26 15:00,1,0,1,0,0,1,0,0,0,0
2025-11-26 16:00,1,0,3,0,0,5,0,0,0,0
2025-11-26 17:00,11,1,7,0,1,17,3,0,0,1
2025-11-26 18:00,134,87,59,9,28,269,24,26,3,25
2025-11-26 19:00,214,110,95,9,59,387,52,28,11,56
2025-11-26 20:00,224,131,104,7,72,392,46,23,7,54
2025-11-26 21:00,159,142,74,16,68,349,74,42,33,34
2025-11-26 22:00,146,146,81,16,71,343,60,45,14,36
2025-11-26 23:00,141,160,84,9,64,353,84,57,21,36
2025-11-27 00:00,88,100,59,14,47,331,45,132,13,21
2025-11-27 01:00,73,104,44,7,21,189,40,34,22,25
2025-11-27 02:00,46,46,18,5,7,88,11,19,10,15
2025-11-27 03:00,19,30,12,2,6,50,8,11,2,7
2025-11-27 04:00,18,17,10,0,8,47,7,12,4,9
2025-11-27 05:00,36,31,15,2,21,73,10,11,3,9
2025-11-27 06:00,56,48,30,6,31,140,15,23,10,25
2025-11-27 07:00,149,106,44,10,97,288,43,51,16,39
2025-11-27 08:00,179,135,43,25,144,305,47,44,27,48
2025-11-27 09:00,167,117,45,13,130,327,53,51,19,52
2025-11-27 10:00,147,118,43,25,112,313,73,56,38,40
2025-11-27 11:00,118,103,26,22,100,267,60,43,47,33
2025-11-27 12:00,129,98,35,26,104,273,46,70,31,35
2025-11-27 13:00,115,79,34,35,89,227,56,54,67,37
2025-11-27 14:00,98,86,34,34,70,185,87,40,55,18
2025-11-27 15:00,91,123,33,38,79,244,75,42,81,23
2025-11-27 16:00,135,116,29,52,68,202,108,37,74,48
2025-11-27 17:00,99,84,21,43,52,175,81,70,68,55
2025-11-27 18:00,160,111,8,109,37,183,122,62,110,64
2025-11-27 19:00,140,127,17,62,56,184,116,48,146,35
2025-11-27 20:00,130,102,19,45,39,181,115,53,107,43
2025-11-27 21:00,93,110,35,35,33,195,105,50,90,35
2025-11-27 22:00,101,92,23,53,39,157,89,63,87,44
2025-11-27 23:00,153,92,28,37,70,209,64,42,43,56
2025-11-28 00:00,82,51,12,26,30,97,42,39,28,28
2025-11-28 01:00,33,28,3,12,18,35,12,22,9,20
2025-11-28 02:00,12,12,6,4,1,17,7,6,5,7
2025-11-28 03:00,10,13,3,5,1,15,2,7,1,6
2025-11-28 04:00,5,6,1,2,6,16,3,8,4,3
2025-11-28 05:00,8,10,1,6,8,24,9,4,3,2
2025-11-28 06:00,22,24,1,3,10,41,18,9,21,4
2025-11-28 07:00,226,130,22,22,29,262,82,47,104,66
2025-11-28 08:00,267,176,20,31,44,271,77,64,49,83
2025-11-28 09:00,76,45,6,7,19,75,19,20,19,27
2025-11-28 10:00,1,4,0,0,0,2,3,0,2,0
2025-11-28 16:00,23,12,5,1,9,34,12,8,3,10
2025-11-28 17:00,1,0,0,0,0,1,0,0,0,0
2025-11-28 18:00,7,6,1,2,6,13,5,3,2,1
2025-11-28 19:00,0,1,0,0,0,2,2,0,0,0
2025-11-28 20:00,13,15,3,4,2,24,13,9,5,7
2025-11-28 21:00,1,1,0,0,1,3,1,1,0,0
2025-11-28 22:00,90,60,13,29,41,96,57,38,30,28
2025-11-28 23:00,82,67,8,37,23,97,54,36,31,33
2025-11-29 00:00,33,34,3,21,17,41,27,18,12,13
2025-11-29 01:00,13,7,2,9,10,21,7,11,6,10
2025-11-29 02:00,12,10,2,4,7,12,4,9,1,6
2025-11-29 03:00,6,6,2,3,3,11,8,4,2,1
2025-11-29 04:00,6,2,0,2,2,9,1,3,1,5
2025-11-29 05:00,9,5,0,4,6,10,2,4,1,1
2025-11-29 06:00,15,9,2,5,4,12,9,5,4,3
2025-11-29 07:00,19,12,5,5,12,35,10,10,6,6
2025-11-29 08:00,30,26,2,12,24,43,19,19,15,17
2025-11-29 09:00,33,32,8,26,16,49,23,20,10,13
2025-11-29 10:00,50,30,9,33,21,64,29,23,26,17
2025-11-29 11:00,46,36,5,31,21,62,36,14,29,13
2025-11-29 12:00,29,29,4,26,11,36,26,13,23,7
2025-11-29 13:00,52,27,15,26,14,47,30,20,22,15
2025-11-29 14:00,65,24,6,37,14,37,19,26,4,20
2025-11-29 15:00,96,31,16,58,16,50,26,52,25,24
2025-11-29 16:00,69,22,11,27,16,34,24,42,11,28
