time,avg_polarity,direction,delta
2025-11-25 18:00,3.0,down_to_up,0.667
2025-11-25 21:00,3.0,up_to_down,-0.167
2025-11-26 08:00,3.0,down_to_up,0.333
2025-11-26 12:00,2.5,up_to_down,-0.5
2025-11-26 18:00,2.19,down_to_up,0.133
2025-11-26 19:00,2.19,up_to_down,-0.167
2025-11-26 21:00,2.32,down_to_up,0.103
2025-11-27 00:00,2.29,up_to_down,-0.093
2025-11-27 03:00,2.52,down_to_up,0.08
2025-11-27 04:00,2.1,up_to_down,-0.173
2025-11-27 07:00,2.19,down_to_up,0.127
2025-11-27 17:00,2.55,up_to_down,-0.097
2025-11-27 18:00,2.8,down_to_up,0.073
2025-11-27 21:00,2.8,up_to_down,-0.07
2025-11-27 22:00,2.79,down_to_up,-0.07
2025-11-28 02:00,2.76,down_to_up,0.223
2025-11-28 03:00,2.39,up_to_down,-0.173
2025-11-28 04:00,2.5,down_to_up,0.107
2025-11-28 08:00,2.31,up_to_down,-0.18
2025-11-28 10:00,2.8,down_to_up,0.247
2025-11-28 18:00,2.55,up_to_down,-0.32
2025-11-28 19:00,3.0,down_to_up,0.283
2025-11-28 20:00,2.56,up_to_down,-0.347
2025-11-28 21:00,2.67,down_to_up,0.187
2025-11-28 22:00,2.64,up_to_down,-0.16
2025-11-28 23:00,2.7,down_to_up,0.167
2025-11-29 01:00,2.58,up_to_down,-0.087
2025-11-29 04:00,2.33,up_to_down,-0.097
2025-11-29 05:00,2.71,down_to_up,0.103
2025-11-29 06:00,2.74,up_to_down,-0.077
2025-11-29 07:00,2.68,down_to_up,0.173
2025-11-29 08:00,2.52,up_to_down,-0.18
2025-11-29 11:00,2.79,down_to_up,0.09
2025-11-29 13:00,2.67,up_to_down,-0.113
2025-11-29 18:00,2.69,down_to_up,0.097
2025-11-29 23:00,3.03,down_to_up,0.19
2025-11-30 02:00,2.65,up_to_down,-0.2
2025-11-30 04:00,3.27,down_to_up,0.207
2025-11-30 07:00,2.66,up_to_down,-0.44
2025-11-30 10:00,2.86,down_to_up,0.237
2025-11-30 14:00,2.93,up_to_down,-0.067
2025-11-30 15:00,3.17,down_to_up,0.18
2025-11-30 17:00,2.47,up_to_down,-0.26
2025-11-30 20:00,2.58,down_to_up,0.307
2025-12-01 05:00,2.4,up_to_down,-0.257
2025-12-01 08:00,2.81,down_to_up,0.277
2025-12-01 09:00,2.67,up_to_down,-0.2
2025-12-01 12:00,2.8,down_to_up,0.087
2025-12-01 13:00,2.7,up_to_down,-0.087
2025-12-01 14:00,2.84,down_to_up,0.097
2025-12-01 17:00,2.39,up_to_down,-0.183
2025-12-01 20:00,2.46,down_to_up,0.153
2025-12-01 22:00,2.55,down_to_up,0.067
2025-12-02 02:00,2.0,up_to_down,-0.23
2025-12-02 03:00,3.0,down_to_up,0.35
2025-12-02 04:00,2.5,up_to_down,-0.27
2025-12-02 05:00,2.6,down_to_up,0.283
2025-12-02 06:00,2.3,up_to_down,-0.433
2025-12-02 07:00,2.62,down_to_up,0.273
2025-12-02 08:00,2.56,up_to_down,-0.053
2025-12-02 09:00,3.17,down_to_up,0.303
2025-12-02 14:00,2.87,up_to_down,-0.093
2025-12-02 20:00,2.97,down_to_up,0.287
2025-12-02 23:00,2.6,up_to_down,-0.253
2025-12-03 02:00,2.67,down_to_up,0.343
2025-12-03 03:00,2.0,up_to_down,-0.107
2025-12-03 05:00,2.0,down_to_up,0.083
2025-12-03 07:00,2.7,down_to_up,0.233
2025-12-03 17:00,2.45,down_to_up,0.19
2025-12-03 19:00,1.93,up_to_down,-0.307
2025-12-03 22:00,2.39,down_to_up,0.43
2025-12-04 00:00,2.0,up_to_down,-0.263
2025-12-04 03:00,2.5,down_to_up,0.63
2025-12-04 04:00,2.0,up_to_down,-0.25
2025-12-04 05:00,1.8,down_to_up,0.35
2025-12-04 06:00,2.25,up_to_down,-0.35
2025-12-04 07:00,2.73,down_to_up,0.327
2025-12-04 11:00,2.61,up_to_down,-0.177
2025-12-04 12:00,3.0,down_to_up,0.343
2025-12-04 15:00,2.59,up_to_down,-0.31
2025-12-04 18:00,2.85,down_to_up,0.29
2025-12-04 22:00,3.19,up_to_down,-0.203
2025-12-05 06:00,4.0,down_to_up,0.353
2025-12-05 08:00,3.15,up_to_down,-0.33
2025-12-05 09:00,3.11,down_to_up,0.097
2025-12-05 10:00,3.5,up_to_down,-0.203
2025-12-05 11:00,3.17,down_to_up,0.173
2025-12-05 14:00,3.17,down_to_up,0.207
2025-12-05 15:00,3.2,down_to_up,0.067
2025-12-05 18:00,2.8,up_to_down,-0.313
2025-12-05 21:00,3.14,down_to_up,0.143
2025-12-05 23:00,3.11,up_to_down,-0.173
2025-12-06 00:00,3.2,down_to_up,0.19
2025-12-06 01:00,3.0,up_to_down,-0.12
2025-12-06 07:00,4.0,down_to_up,0.397
2025-12-06 10:00,3.65,up_to_down,-0.403
2025-12-06 14:00,3.08,down_to_up,0.34
2025-12-06 15:00,2.81,up_to_down,-0.107
2025-12-06 16:00,3.23,down_to_up,0.253
2025-12-06 17:00,2.8,up_to_down,-0.267
2025-12-06 18:00,3.0,down_to_up,0.157
2025-12-06 19:00,3.2,up_to_down,-0.073
2025-12-06 20:00,3.33,down_to_up,0.187
2025-12-06 21:00,3.0,up_to_down,-0.177
2025-12-07 01:00,2.5,up_to_down,-0.39
2025-12-07 05:00,4.0,down_to_up,0.11
2025-12-07 06:00,3.0,down_to_up,0.167
2025-12-07 08:00,2.67,up_to_down,-0.777
2025-12-07 09:00,3.2,down_to_up,0.51
2025-12-07 10:00,3.22,up_to_down,-0.327
2025-12-07 11:00,3.71,down_to_up,0.607
2025-12-07 12:00,2.71,up_to_down,-0.51
2025-12-07 13:00,3.6,down_to_up,0.29
2025-12-07 14:00,2.0,up_to_down,-0.697
2025-12-07 15:00,3.0,down_to_up,0.667
2025-12-07 16:00,3.2,up_to_down,-0.23
2025-12-07 17:00,2.6,down_to_up,0.333
2025-12-07 18:00,3.0,up_to_down,-0.2
2025-12-07 19:00,2.83,down_to_up,-0.123
2025-12-07 20:00,3.38,down_to_up,0.383
2025-12-07 22:00,2.75,up_to_down,-0.193
2025-12-08 00:00,4.0,down_to_up,0.233
2025-12-08 01:00,2.0,up_to_down,-0.707
2025-12-08 05:00,3.0,down_to_up,0.583
2025-12-08 07:00,2.0,up_to_down,-0.333
2025-12-08 08:00,4.0,down_to_up,0.333
2025-12-08 09:00,3.5,up_to_down,-0.833
2025-12-08 10:00,2.67,down_to_up,0.723
2025-12-08 11:00,3.17,up_to_down,-0.5
2025-12-08 12:00,3.67,down_to_up,0.333
2025-12-08 17:00,4.0,up_to_down,-0.097
2025-12-08 18:00,3.0,down_to_up,-0.333
2025-12-08 21:00,3.2,down_to_up,0.733
2025-12-09 04:00,3.0,up_to_down,-0.633
2025-12-09 10:00,3.0,down_to_up,0.467
2025-12-09 12:00,2.0,up_to_down,-0.617
2025-12-09 14:00,4.0,down_to_up,0.533
2025-12-09 16:00,2.0,up_to_down,-0.25
2025-12-09 17:00,2.56,down_to_up,-0.48
2025-12-09 19:00,3.0,down_to_up,0.89
2025-12-09 20:00,2.33,up_to_down,-0.41
2025-12-09 21:00,2.5,down_to_up,0.133
2025-12-09 22:00,2.57,up_to_down,-0.2
2025-12-10 00:00,3.67,down_to_up,0.59
2025-12-10 04:00,2.0,up_to_down,-0.69
2025-12-10 08:00,2.0,down_to_up,0.333
2025-12-10 09:00,2.0,down_to_up,-0.167
2025-12-10 10:00,3.25,down_to_up,0.25
2025-12-10 13:00,2.4,up_to_down,-0.34
2025-12-10 15:00,2.5,down_to_up,0.36
2025-12-10 17:00,2.4,up_to_down,-0.167
2025-12-10 19:00,4.0,down_to_up,0.567
2025-12-10 22:00,3.2,up_to_down,-0.823
2025-12-11 09:00,2.8,down_to_up,0.533
2025-12-11 13:00,3.0,up_to_down,-0.733
2025-12-11 14:00,4.0,down_to_up,0.667
2025-12-11 15:00,2.0,up_to_down,-1.0
2025-12-11 16:00,3.0,down_to_up,0.667
2025-12-11 17:00,3.25,down_to_up,-0.25
2025-12-11 18:00,2.33,down_to_up,0.36
2025-12-11 19:00,3.0,up_to_down,-0.11
