Key,count,percentage
救援行动,5474,28.0
民众情绪,4274,21.86
新闻报道,2147,10.98
抢险救灾,1658,8.48
应急响应,1614,8.25
住房安全,1171,5.99
社会救助,1025,5.24
社交媒体,989,5.06
居民生活,876,4.48
网络热议,609,3.11
互助行为,561,2.87
公众关注,518,2.65
政策发布,444,2.27
部门协调,425,2.17
安全保障,364,1.86
疏散转移,329,1.68
社会反响,310,1.59
监督检查,277,1.42
网络传播,265,1.36
灾后重建,232,1.19
民生保障,198,1.01
经济损失,167,0.85
舆论引导,165,0.84
信息发布,160,0.82
公众参与,149,0.76
志愿服务,143,0.73
物资调配,140,0.72
求助信息,138,0.71
社区管理,132,0.68
现场直播,113,0.58
民众建议,105,0.54
交通事故,103,0.53
信息公开,92,0.47
应急预案,64,0.33
领导指示,62,0.32
保险理赔,62,0.32
舆情回应,59,0.3
采访报道,52,0.27
商业损失,49,0.25
评论分析,47,0.24
市场影响,44,0.23
谣言澄清,44,0.23
预警发布,40,0.2
工作部署,40,0.2
投诉举报,37,0.19
部门联动,36,0.18
大风,33,0.17
医疗服务,29,0.15
公共秩序,28,0.14
教育服务,24,0.12
就业影响,19,0.1
暴雨,19,0.1
电力供应,16,0.08
洪水,16,0.08
指挥调度,15,0.08
恢复重建,15,0.08
媒体监督,15,0.08
干旱,12,0.06
燃气供应,12,0.06
供水保障,10,0.05
通信网络,9,0.05
道路管制,8,0.04
地震,7,0.04
地铁运营,6,0.03
公交调整,6,0.03
交通拥堵,6,0.03
运输保障,6,0.03
出行安全,6,0.03
会议通报,6,0.03
旅游业,5,0.03
航班延误,5,0.03
铁路停运,5,0.03
大雪,4,0.02
物价稳定,4,0.02
台风,3,0.02
环境卫生,3,0.02
环卫服务,3,0.02
工业影响,2,0.01
金融服务,2,0.01
零售业,1,0.01
餐饮业,1,0.01
冰雹,1,0.01
食品安全,1,0.01
通州区,1,0.01
山体滑坡,1,0.01
工作总结,1,0.01
